id,behavior
0,MB_NORMAL
1,MB_NORMAL
2,MB_CAVE
3,MB_CAVE
4,MB_CAVE
5,MB_CAVE
6,MB_SOUTH_ARROW_WARP
7,MB_CAVE
8,MB_NORMAL
9,MB_NORMAL
10,MB_NORMAL
11,MB_NORMAL
12,MB_NORMAL
13,MB_NORMAL
14,MB_CAVE
15,MB_CAVE
16,MB_NORMAL
17,MB_NORMAL
18,MB_CAVE
19,MB_NORMAL
20,MB_CAVE
21,MB_CAVE
22,MB_NORMAL
23,MB_NORMAL
24,MB_NORMAL
25,MB_NORMAL
26,MB_NORMAL
27,MB_NORMAL
28,MB_CAVE
29,MB_CAVE
30,MB_NORMAL
31,MB_NORMAL
32,MB_NORMAL
33,MB_NORMAL
34,MB_NORMAL
35,MB_NORMAL
36,MB_NORMAL
37,MB_NORMAL
38,MB_NORMAL
39,MB_CAVE
40,MB_EAST_ARROW_WARP
41,MB_NORMAL
42,MB_NORMAL
43,MB_NORMAL
44,MB_NORMAL
45,MB_NORMAL
46,MB_NORMAL
47,MB_WEST_ARROW_WARP
48,MB_CAVE
49,MB_NORMAL
50,MB_NORMAL
51,MB_NORMAL
52,MB_CAVE
53,MB_NORMAL
54,MB_NORMAL
55,MB_CAVE
56,MB_EAST_ARROW_WARP
57,MB_NORMAL
58,MB_NORMAL
59,MB_NORMAL
60,MB_NORMAL
61,MB_CAVE
62,MB_NORMAL
63,MB_NORMAL
64,MB_CAVE
65,MB_NORMAL
66,MB_NORMAL
67,MB_NORMAL
68,MB_NORMAL
69,MB_WEST_ARROW_WARP
70,MB_NORMAL
71,MB_NORMAL
72,MB_COUNTER
73,MB_CAVE
74,MB_CAVE
75,MB_NORMAL
76,MB_NORMAL
77,MB_CAVE
78,MB_NORMAL
79,MB_NORMAL
80,MB_COUNTER
81,MB_COUNTER
82,MB_COUNTER
83,MB_COUNTER
84,MB_COUNTER
85,MB_NORMAL
86,MB_NORMAL
87,MB_NORMAL
88,MB_NORMAL
89,MB_NORMAL
90,MB_NORMAL
91,MB_NORMAL
92,MB_NORMAL
93,MB_NORMAL
94,MB_NORMAL
95,MB_CAVE
96,MB_CAVE
97,MB_CAVE
98,MB_CAVE
99,MB_NORMAL
100,MB_NORMAL 
