id,behavior
0,MB_VERTICAL_RAIL
5,MB_VERTICAL_RAIL
6,MB_VERTICAL_RAIL
7,MB_VERTICAL_RAIL
8,MB_VERTICAL_RAIL
15,MB_VERTICAL_RAIL
16,MB_VERTICAL_RAIL
24,MB_VERTICAL_RAIL
26,MB_ANIMATED_DOOR
66,MB_ANIMATED_DOOR
22,MB_IMPASSABLE_WEST_AND_EAST
30,MB_IMPASSABLE_WEST
31,MB_SOUTH_ARROW_WARP
37,MB_PUDDLE
38,MB_PUDDLE
39,MB_PUDDLE
45,MB_PUDDLE
46,MB_PUDDLE
47,MB_PUDDLE
53,MB_PUDDLE
54,MB_PUDDLE
55,MB_PUDDLE
61,MB_PUDDLE
62,MB_PUDDLE
63,MB_PUDDLE
99,MB_ANIMATED_DOOR
101,MB_ANIMATED_DOOR
104,MB_EAST_ARROW_WARP
106,MB_PUDDLE
114,MB_PUDDLE
