id,behavior
44,MB_ANIMATED_DOOR
68,MB_ANIMATED_DOOR
176,MB_TALL_GRASS
177,MB_TALL_GRASS
5,MB_PUDDLE
6,MB_PUDDLE
7,MB_PUDDLE
13,MB_PUDDLE
14,MB_PUDDLE
15,MB_PUDDLE
21,MB_PUDDLE
22,MB_PUDDLE
23,MB_PUDDLE
109,MB_POND_WATER
110,MB_POND_WATER
111,MB_POND_WATER
117,MB_POND_WATER
118,MB_POND_WATER
125,MB_POND_WATER
126,MB_POND_WATER
27,MB_SHORT_GRASS
28,MB_SHORT_GRASS
142,MB_SHORT_GRASS
143,MB_SHORT_GRASS
150,MB_SHORT_GRASS
151,MB_SHORT_GRASS
166,MB_SHORT_GRASS
181,MB_SHORT_GRASS
182,MB_SHORT_GRASS
183,MB_SHORT_GRASS
187,MB_SHORT_GRASS
188,MB_SHORT_GRASS
189,MB_SHORT_GRASS
190,MB_SHORT_GRASS
191,MB_SHORT_GRASS
195,MB_SHORT_GRASS
196,MB_SHORT_GRASS
197,MB_SHORT_GRASS
198,MB_SHORT_GRASS
199,MB_SHORT_GRASS
61,MB_SOUTH_ARROW_WARP
