id,behavior
40,MB_PUDDLE
41,MB_PUDDLE
42,MB_PUDDLE
48,MB_PUDDLE
49,MB_PUDDLE
50,MB_PUDDLE
56,MB_PUDDLE
57,MB_PUDDLE
58,MB_PUDDLE
89,MB_ANIMATED_DOOR
30,MB_SIDEWAYS_STAIRS_LEFT_SIDE_TOP
31,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_TOP
9,MB_SHORT_GRASS
3,MB_SHORT_GRASS
4,MB_SHORT_GRASS
5,MB_SHORT_GRASS
11,MB_SHORT_GRASS
12,MB_SHORT_GRASS
13,MB_SHORT_GRASS
19,MB_SHORT_GRASS
20,MB_SHORT_GRASS
21,MB_SHORT_GRASS
24,MB_SHORT_GRASS
25,MB_SHORT_GRASS
26,MB_SHORT_GRASS
27,MB_SHORT_GRASS
28,MB_SHORT_GRASS
29,MB_SHORT_GRASS
32,MB_SHORT_GRASS
33,MB_SHORT_GRASS
34,MB_SHORT_GRASS
35,MB_SHORT_GRASS
38,MB_SHORT_GRASS
39,MB_SHORT_GRASS
98,MB_WEST_ARROW_WARP
122,MB_WEST_ARROW_WARP
97,MB_EAST_ARROW_WARP
121,MB_EAST_ARROW_WARP
